x y z normal_x normal_y normal_z
0.458435 -0.196248 0.0372111 -0.115261 0.244697 -0.962724
0.459204 -0.195613 0.0372804 -0.115261 0.244697 -0.962724
0.459973 -0.194978 0.0373497 -0.115261 0.244697 -0.962724
0.460741 -0.19434 0.0374084 -0.130605 0.223079 -0.966012
0.461508 -0.193699 0.0374528 -0.130605 0.223079 -0.966012
0.462274 -0.193058 0.0374973 -0.130605 0.223079 -0.966012
0.46304 -0.192417 0.0375417 -0.130605 0.223079 -0.966012
0.463806 -0.191776 0.0375862 -0.130605 0.223079 -0.966012
0.464572 -0.191135 0.0376306 -0.130605 0.223079 -0.966012
0.465339 -0.190494 0.0376751 -0.130605 0.223079 -0.966012
0.466105 -0.189853 0.0377195 -0.130605 0.223079 -0.966012
0.466871 -0.189212 0.037764 -0.130605 0.223079 -0.966012
0.467636 -0.188569 0.0378014 -0.154765 0.201445 -0.967196
0.468398 -0.187921 0.0378146 -0.154765 0.201445 -0.967196
0.469159 -0.187273 0.0378277 -0.154765 0.201445 -0.967196
0.46992 -0.186625 0.03784 -0.143069 0.182447 -0.972751
0.470681 -0.185976 0.0378498 -0.143069 0.182447 -0.972751
0.471442 -0.185327 0.0378595 -0.143069 0.182447 -0.972751
0.472203 -0.184679 0.0378692 -0.143069 0.182447 -0.972751
0.472964 -0.18403 0.037879 -0.143069 0.182447 -0.972751
0.473725 -0.183381 0.0378887 -0.143069 0.182447 -0.972751
0.474486 -0.182733 0.0378985 -0.143069 0.182447 -0.972751
0.475247 -0.182084 0.0379082 -0.143069 0.182447 -0.972751
0.476008 -0.181435 0.037918 -0.143069 0.182447 -0.972751
0.476769 -0.180787 0.0379277 -0.143069 0.182447 -0.972751
0.47753 -0.180138 0.0379375 -0.143069 0.182447 -0.972751
0.478291 -0.179489 0.0379472 -0.143069 0.182447 -0.972751
0.479052 -0.17884 0.0379531 -0.143846 0.171052 -0.974705
0.479812 -0.17819 0.0379551 -0.143846 0.171052 -0.974705
0.480572 -0.17754 0.0379581 -0.131365 0.180027 -0.974851
0.481333 -0.176892 0.037975 -0.131365 0.180027 -0.974851
0.482094 -0.176243 0.0379835 -0.165948 0.180389 -0.969495
0.482852 -0.175591 0.0379751 -0.165948 0.180389 -0.969495
0.48361 -0.174939 0.0379667 -0.165948 0.180389 -0.969495
0.484368 -0.174287 0.0379583 -0.165948 0.180389 -0.969495
