x, y, z, yaw, roll, pitch
0.56836, -0.0943935, 0.0263406, 1.52874, -2.7631, 0.0610657
0.568403, -0.0933962, 0.0262822, 1.52963, -2.76433, 0.0633086
0.568446, -0.0923988, 0.0262237, 1.53051, -2.76556, 0.065554
0.568489, -0.0914014, 0.0261652, 1.53138, -2.76679, 0.0678017
0.568532, -0.0904041, 0.0261067, 1.53226, -2.76802, 0.0700478
0.568575, -0.0894067, 0.0260474, 1.5331, -2.76915, 0.0721727
0.568617, -0.0884095, 0.0259872, 1.53386, -2.77017, 0.0741548
0.568659, -0.0874122, 0.0259269, 1.53461, -2.77119, 0.0761385
0.568702, -0.0864149, 0.0258666, 1.53536, -2.77221, 0.0781237
0.568744, -0.0854176, 0.0258064, 1.53611, -2.77323, 0.0801104
0.568786, -0.0844203, 0.0257461, 1.53685, -2.77424, 0.0820986
0.568828, -0.083423, 0.0256858, 1.53759, -2.77526, 0.0840883
0.568871, -0.0824257, 0.0256255, 1.53833, -2.77627, 0.0860794
0.568913, -0.0814284, 0.0255653, 1.53944, -2.77725, 0.0879249
0.568949, -0.0804321, 0.0254898, 1.541, -2.77816, 0.0908341
0.568978, -0.0794367, 0.0253989, 1.54248, -2.77905, 0.0950154
0.569, -0.0784432, 0.0252877, 1.54364, -2.77971, 0.0981771
0.569018, -0.077451, 0.0251642, 1.54462, -2.78023, 0.100719
0.569035, -0.0764588, 0.0250408, 1.54561, -2.78075, 0.103261
0.569052, -0.0754666, 0.0249173, 1.54658, -2.78127, 0.105805
0.569069, -0.0744744, 0.0247939, 1.54756, -2.78178, 0.10835
0.569087, -0.0734822, 0.0246704, 1.54853, -2.78229, 0.110896
0.569104, -0.07249, 0.024547, 1.55002, -2.78274, 0.113251
0.56913, -0.0714956, 0.0244475, 1.55111, -2.78386, 0.115189
0.569161, -0.0704995, 0.0243648, 1.5517, -2.78548, 0.116924
0.569193, -0.0695034, 0.0242821, 1.55228, -2.78709, 0.118661
0.569225, -0.0685074, 0.0241994, 1.55286, -2.78871, 0.1204
0.569256, -0.0675113, 0.0241166, 1.5537, -2.79029, 0.12204
0.569282, -0.0665171, 0.0240171, 1.88194, -2.77103, -0.000220221
0.568985, -0.0656062, 0.0240075, 2.10901, -2.78052, -0.0842442
0.568475, -0.0647503, 0.0240948, 2.11009, -2.78086, -0.0813756
0.567966, -0.0638943, 0.0241821, 2.11118, -2.78118, -0.0785063
0.567456, -0.0630384, 0.0242694, 2.11226, -2.78151, -0.0756363
0.566946, -0.0621824, 0.0243568, 2.11351, -2.78184, -0.0728298
0.566435, -0.061327, 0.0244404, 2.11623, -2.78211, -0.0706787
0.56591, -0.0604776, 0.0244883, 2.11692, -2.78055, -0.0687772
0.565384, -0.0596282, 0.0245358, 2.11769, -2.77914, -0.0668742
0.564858, -0.0587791, 0.0245817, 2.11847, -2.77874, -0.0647904
0.564332, -0.05793, 0.0246277, 2.11925, -2.77833, -0.0627073
0.563805, -0.0570809, 0.0246736, 2.12004, -2.77791, -0.060625
0.563279, -0.0562319, 0.0247195, 2.12098, -2.77751, -0.0586038
0.562749, -0.0553845, 0.0247556, 2.12158, -2.77652, -0.0573154
0.562217, -0.0545385, 0.0247845, 2.12183, -2.77509, -0.056531
0.561685, -0.0536925, 0.0248135, 2.12209, -2.77367, -0.0557473
0.561152, -0.0528464, 0.0248424, 2.12235, -2.77224, -0.0549643
0.56062, -0.0520004, 0.0248714, 2.12268, -2.77082, -0.0542106
0.560097, -0.0511498, 0.0249281, 2.12404, -2.76918, -0.0508721
0.559578, -0.0502977, 0.0249944, 2.12583, -2.76747, -0.046692
0.559056, -0.0494472, 0.025051, 2.12734, -2.7654, -0.0433892
0.558526, -0.0486, 0.0250884, 2.12799, -2.76262, -0.0417244
0.557996, -0.0477527, 0.0251258, 2.12864, -2.75984, -0.0400632
0.557466, -0.0469055, 0.0251632, 2.1293, -2.75706, -0.0384054
0.556936, -0.0460583, 0.0252006, 2.12998, -2.75428, -0.0367513
0.556406, -0.045211, 0.025238, 2.13066, -2.7515, -0.0351009
0.555876, -0.0443638, 0.0252754, 2.13135, -2.74872, -0.0334544
0.555346, -0.0435166, 0.0253128, 2.13194, -2.74593, -0.0317687
0.554812, -0.0426719, 0.0253369, 2.13302, -2.74614, -0.029174
0.554276, -0.0418274, 0.0253598, 2.13414, -2.74663, -0.0264898
0.553741, -0.040983, 0.0253827, 2.13526, -2.74713, -0.0238045
0.553206, -0.0401385, 0.0254055, 2.13633, -2.74762, -0.0211002
0.552668, -0.0392955, 0.0254213, 2.13739, -2.74749, -0.0185476
0.55213, -0.0384528, 0.0254359, 2.13844, -2.74727, -0.0160191
0.551592, -0.03761, 0.0254506, 2.13949, -2.74704, -0.0134911
0.551054, -0.0367672, 0.0254652, 2.14054, -2.74682, -0.0109635
0.550516, -0.0359244, 0.0254799, 2.1416, -2.74658, -0.00843641
0.549978, -0.0350817, 0.0254945, 2.14266, -2.74635, -0.00590986
0.54944, -0.0342389, 0.0255092, 2.14364, -2.74611, -0.00335439
0.548897, -0.033399, 0.0255105, 2.14493, -2.7461, -0.000161029
0.548352, -0.0325608, 0.0255044, 2.1464, -2.7462, 0.00337011
0.547807, -0.0317225, 0.0254984, 2.14787, -2.74629, 0.00690286
0.54726, -0.0308855, 0.0254876, 2.14918, -2.74684, 0.0100459
0.54671, -0.0300506, 0.0254673, 2.15019, -2.74828, 0.0124292
0.54616, -0.0292158, 0.0254471, 2.15119, -2.74971, 0.0148154
0.54561, -0.0283809, 0.0254268, 2.15218, -2.75115, 0.0172044
0.545059, -0.0275461, 0.0254065, 2.15322, -2.75258, 0.0195768
0.544508, -0.0267126, 0.0253812, 2.15423, -2.75269, 0.0219863
0.543955, -0.0258795, 0.0253537, 2.15522, -2.75225, 0.0244149
0.543402, -0.0250465, 0.0253262, 2.15622, -2.75181, 0.0268427
0.54285, -0.0242135, 0.0252987, 2.15722, -2.75136, 0.0292697
0.542297, -0.0233805, 0.0252713, 2.15822, -2.75092, 0.0316959
0.541745, -0.0225474, 0.0252438, 2.15922, -2.75047, 0.0341212
0.541192, -0.0217144, 0.0252163, 2.16022, -2.75002, 0.0365456
0.54064, -0.0208814, 0.0251889, 2.16123, -2.74956, 0.038969
0.540087, -0.0200484, 0.0251614, 2.16229, -2.7491, 0.0413725
0.539532, -0.0192171, 0.0251272, 2.16325, -2.7478, 0.0435845
0.538976, -0.0183873, 0.0250875, 2.16406, -2.7458, 0.0456688
0.538421, -0.0175556, 0.0250548, 2.16439, -2.74693, 0.0464907
0.537867, -0.0167239, 0.0250223, 2.16465, -2.74811, 0.0473145
0.537309, -0.0158953, 0.0249778, 2.16497, -2.74868, 0.0481733
0.536749, -0.0150684, 0.0249268, 2.16533, -2.74892, 0.0490493
0.536189, -0.0142415, 0.0248758, 2.1657, -2.74916, 0.0499255
