x y z normal_x normal_y normal_z
0.535452 -0.131069 0.0292921 -0.331081 0.068318 -0.941126
0.535843 -0.130151 0.0292288 -0.331081 0.068318 -0.941126
0.536234 -0.129233 0.0291655 -0.331081 0.068318 -0.941126
0.536625 -0.128315 0.0291022 -0.331081 0.068318 -0.941126
0.537017 -0.127397 0.0290389 -0.331081 0.068318 -0.941126
0.537408 -0.126478 0.0289755 -0.331081 0.068318 -0.941126
0.537799 -0.12556 0.0289122 -0.331081 0.068318 -0.941126
0.53819 -0.124642 0.0288489 -0.331081 0.068318 -0.941126
0.538582 -0.123724 0.0287856 -0.331081 0.068318 -0.941126
0.538973 -0.122806 0.0287222 -0.331081 0.068318 -0.941126
0.539364 -0.121888 0.0286589 -0.331081 0.068318 -0.941126
0.53972 -0.120959 0.0285574 -0.340295 0.0325829 -0.939754
0.540067 -0.120028 0.0284465 -0.340295 0.0325829 -0.939754
0.540413 -0.119097 0.0283356 -0.340295 0.0325829 -0.939754
0.54076 -0.118165 0.0282246 -0.340295 0.0325829 -0.939754
0.541107 -0.117234 0.0281137 -0.340295 0.0325829 -0.939754
0.541454 -0.116303 0.0280027 -0.340295 0.0325829 -0.939754
0.541801 -0.115371 0.0278918 -0.340295 0.0325829 -0.939754
0.542148 -0.11444 0.0277808 -0.340295 0.0325829 -0.939754
0.542494 -0.113508 0.0276699 -0.340295 0.0325829 -0.939754
0.542841 -0.112577 0.027559 -0.340295 0.0325829 -0.939754
0.543188 -0.111646 0.027448 -0.340295 0.0325829 -0.939754
0.543535 -0.110714 0.0273371 -0.340295 0.0325829 -0.939754
0.543882 -0.109783 0.0272261 -0.340295 0.0325829 -0.939754
0.544229 -0.108852 0.0271152 -0.356167 -0.0155754 -0.934292
0.544575 -0.10792 0.0270042 -0.356167 -0.0155754 -0.934292
0.544922 -0.106989 0.0268933 -0.356167 -0.0155754 -0.934292
0.545269 -0.106058 0.0267824 -0.356167 -0.0155754 -0.934292
0.545616 -0.105126 0.0266714 -0.356167 -0.0155754 -0.934292
0.545963 -0.104195 0.0265605 -0.356167 -0.0155754 -0.934292
0.54631 -0.103264 0.0264495 -0.349203 -0.0113045 -0.936979
0.546648 -0.10233 0.0263352 -0.349203 -0.0113045 -0.936979
0.546943 -0.101384 0.026204 -0.349203 -0.0113045 -0.936979
0.547239 -0.100437 0.0260729 -0.349203 -0.0113045 -0.936979
0.547534 -0.0994909 0.0259417 -0.349203 -0.0113045 -0.936979
0.547829 -0.0985446 0.0258105 -0.344397 -0.00103033 -0.938824
0.548125 -0.0975982 0.0256794 -0.344397 -0.00103033 -0.938824
0.54842 -0.0966519 0.0255482 -0.344397 -0.00103033 -0.938824
0.548716 -0.0957056 0.025417 -0.344397 -0.00103033 -0.938824
0.549011 -0.0947593 0.0252859 -0.344397 -0.00103033 -0.938824
0.549307 -0.093813 0.0251547 -0.344397 -0.00103033 -0.938824
0.549602 -0.0928667 0.0250235 -0.344397 -0.00103033 -0.938824
0.549897 -0.0919203 0.0248924 -0.344397 -0.00103033 -0.938824
0.550193 -0.090974 0.0247612 -0.342533 -0.0541783 -0.937942
0.550488 -0.0900277 0.0246301 -0.342533 -0.0541783 -0.937942
0.550784 -0.0890814 0.0244989 -0.342533 -0.0541783 -0.937942
0.551079 -0.0881351 0.0243677 -0.342533 -0.0541783 -0.937942
0.551375 -0.0871888 0.0242366 -0.342533 -0.0541783 -0.937942
0.55167 -0.0862424 0.0241054 -0.342533 -0.0541783 -0.937942
0.551966 -0.0852961 0.0239742 -0.375156 -0.0454694 -0.925846
0.552193 -0.0843333 0.0238329 -0.375156 -0.0454694 -0.925846
0.552402 -0.0833662 0.0236888 -0.375156 -0.0454694 -0.925846
